答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,状态
68,180.212.220.23,,,,,138,2015-03-22 11:48:07,2015-03-22 11:49:43,正常完成
69,101.254.209.81,,,,,59,2015-03-22 11:48:26,2015-03-22 11:50:43,正常完成
70,61.227.238.64,,,,,146,2015-03-22 11:49:40,2015-03-22 11:51:48,正常完成
71,117.136.40.151,,,,,140,2015-03-22 11:50:04,2015-03-22 11:52:16,正常完成
72,117.81.112.225,,,,,144,2015-03-22 11:57:32,2015-03-22 11:58:38,正常完成
73,111.37.17.109,,,,,170,2015-03-22 11:55:52,2015-03-22 11:58:45,正常完成
74,58.56.224.106,,,,,182,2015-03-22 11:58:56,2015-03-22 12:00:32,正常完成
75,101.226.89.191,,,,,153,2015-03-22 12:00:10,2015-03-22 12:03:09,正常完成
76,219.133.40.15,,,,,188,2015-03-22 12:02:14,2015-03-22 12:05:14,正常完成
77,117.136.37.20,,,,,50,2015-03-22 12:03:51,2015-03-22 12:05:40,正常完成
78,101.226.89.191,,,,,162,2015-03-22 12:03:55,2015-03-22 12:05:43,正常完成
79,111.164.224.206,,,,,153,2015-03-22 12:09:30,2015-03-22 12:11:56,正常完成
80,112.224.65.9,,,,,90,2015-03-22 12:13:09,2015-03-22 12:14:36,正常完成
81,163.125.249.146,,,,,32,2015-03-22 12:10:55,2015-03-22 12:19:19,正常完成
82,58.56.245.130,,,,,67,2015-03-22 12:16:16,2015-03-22 12:19:29,正常完成
83,123.235.127.249,,,,,88,2015-03-22 12:23:04,2015-03-22 12:25:01,正常完成
84,183.46.68.54,,,,,58,2015-03-22 12:26:42,2015-03-22 12:28:35,正常完成
85,121.98.156.116,,,,,67,2015-03-22 12:27:54,2015-03-22 12:29:58,正常完成
86,111.199.118.157,,,,,34,2015-03-22 12:30:49,2015-03-22 12:32:39,正常完成
87,112.224.69.141,,,,,173,2015-03-22 12:32:01,2015-03-22 12:33:30,正常完成
88,111.193.231.211,,,,,17,2015-03-22 12:33:35,2015-03-22 12:34:49,正常完成
89,101.226.125.117,,,,,182,2015-03-22 12:32:16,2015-03-22 12:34:54,正常完成
90,101.226.125.14,,,,,36,2015-03-22 12:34:41,2015-03-22 12:35:25,正常完成
91,172.56.38.244,,,,,138,2015-03-22 12:30:44,2015-03-22 12:35:48,正常完成
92,123.150.202.1,,,,,155,2015-03-22 12:40:04,2015-03-22 12:41:29,正常完成
93,101.224.75.40,,,,,148,2015-03-22 12:40:27,2015-03-22 12:42:21,正常完成
94,58.56.224.26,,,,,182,2015-03-22 12:43:07,2015-03-22 12:43:52,正常完成
95,221.3.64.158,,,,,142,2015-03-22 12:42:40,2015-03-22 12:44:09,正常完成
96,112.224.67.227,,,,,146,2015-03-22 12:43:14,2015-03-22 12:44:28,正常完成
97,61.148.244.79,,,,,134,2015-03-22 12:46:14,2015-03-22 12:48:19,正常完成
98,123.234.205.47,,,,,129,2015-03-22 12:46:16,2015-03-22 12:48:56,正常完成
99,124.129.22.142,,,,,67,2015-03-22 12:47:19,2015-03-22 12:49:19,正常完成
100,117.136.77.88,,,,,155,2015-03-22 12:48:08,2015-03-22 12:50:13,正常完成
